PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC90 Modifier,IC90,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 Normalized Chi2,Percent Inhibition @ 100 uM,Percent Inhibition @ 50 uM,Percent Inhibition @ 25 uM,Percent Inhibition @ 12.5 uM,Percent Inhibition @ 6.25 uM,Percent Inhibition @ 3.13 uM,Percent Inhibition @ 1.56 uM,Percent Inhibition @ 0.78 uM,Percent Inhibition @ 0.39 uM,Percent Inhibition @ 0.20 uM,Maximum Inhibition,Concentration of Maximum Inhibition
12,845123,312154,CC1=CC(=O)NP(=O)(N1)OC2=CC3=CC=CC=C3C=C2,Inactive,0,,,,,,,,,,,-1.64,-0.24,0.43,-2.28,-3.33,-1.5,-41.9,-4.6,-6.08,-1.88,0.43,25
13,845327,647671,CC1=CC2=C(C=C1)N(N=N2)C3CCN(CC3)CC(=O)N4CCN(CC4)C5=CC=C(C=C5)F,Active,66,,,,54.67,,36.83,,1.56,5.56,3.69,93.01,85.01,9.94,3.42,0.41,-2.56,-4.65,3.68,-3.58,-0.54,93.01,100
14,846009,648376,CC1=CC=C(C=C1)C(C2=NN=NN2CC3=CC=CS3)N4CCN(CC4)CC5=CC6=C(C=C5)OCO6,Active,71,,,,38.03,,24.33,,3.47,4.92,17.43,98.72,96.62,53.48,3.3,-2.16,-0.05,-22.18,-3.92,-1.74,-43.75,98.72,100
15,846163,648545,CCCCOC(=O)CSC1=NN=C(O1)C2=C(C=C(C=C2)Cl)Cl,Active,80,,,,7.21,<,0.2,,0.01,0.47,1.87,97.96,95.58,95.49,92.87,90.56,84.08,81.77,72.06,71.58,62.69,97.96,100
16,846289,648675,CC1=C2C=C(C(=NC2=C(C=C1)C)N3CCCC3)C#N,Inactive,0,,,,,,,,,,,1.81,-3.92,-5.04,-0.78,-2.31,0.07,-8.88,-7.75,-6.91,-2.47,1.81,100
17,846296,648682,C1CN(CCN1C2=CC=CC=N2)C(=O)C3=CC=C(O3)C#CC4=CC=CC=C4,Inactive,0,,,,,,,,,,,0.6,-7.38,10.49,-3.7,-0.71,-13,-3.11,-4.3,-4.58,-6.86,10.49,25
18,846412,648801,COC1=CC=CC=C1N2CCN(CC2)C3=NN=C(C=C3)C4=CC=CC=C4,Inactive,0,,,,,,,,,,,2.99,-4.63,-1.55,-10.41,-6.61,-2.41,-5.73,-4.98,-6.13,-1.15,2.99,100
19,846490,648878,CCN(CC)C1=CC2=C(C=C1)C(=C(C(=O)O2)Br)Cl,Active,72,,,,61.56,,22.62,,2.04,2.19,6.57,92.68,76.92,65.8,13.1,4.88,3.67,6.61,4.93,1.58,4.17,92.68,100
20,846746,649139,CCC1=CC2=C(C=C1)NC(=O)C(=C2)CN(CCCN3CCOCC3)C(=O)NC4=CC(=CC=C4)Cl,Active,67,,,,40.53,,33.66,,8.81,11.82,6.04,98.07,99.08,2.89,-1.49,-7.09,-11.77,-5.92,-4.57,-1.56,-6.21,99.08,50
21,847195,649592,CC1CCCCC1NC(=O)C2=CC3=C(C=C2)N(C(=O)N3)C4CCCC4,Active,77,,,,14.14,,9.65,,0.47,5.75,4.1,99.81,99.65,97.18,81.64,7.83,-8.46,0.61,-1.04,-3.05,-6.61,99.81,100
22,847353,649752,CCCOC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NC3=CC=CC=N3,Active,66,,,>,100,,36.41,,3.93,2.16,7.74,83.35,66.57,38.04,-1.28,-1.66,-6.71,-7.41,-10.56,-2.33,-6.02,83.35,100
23,848077,650501,C1CN(CCC1N2C3=C(C=C(C=C3)C(F)(F)F)N=N2)CC(=O)NCC4=CC=CS4,Active,66,,,,47.94,,37.24,,4.1,8.7,5.68,99.22,92.85,3.03,-1.43,3.26,-10.94,-4.9,-5.19,-4.73,-7.18,99.22,100
24,848268,650706,COC1=CC=CC(=C1)C2=CC(=NO2)C(=O)OC,Active,76,,,>,100,,10.5,,1.86,1.54,10.81,80.85,78.78,77.55,70.36,28.33,11.66,-11.96,-0.6,-2.34,-1.58,80.85,100
25,848690,651141,CCOC(=O)C1CCN(CC1)C2=C(C=C3C=CC(=CC3=N2)OC)C#N,Active,48,,,>,100,,83.52,,4.08,5.56,4.33,73.15,5.19,5.84,0.82,-3.29,3.85,1.86,0.67,-5.91,-7.2,73.15,100
26,849028,651494,C1CCC(CC1)NC(=O)COC(=O)C2=C(C(=NS2)C(=O)NC3CCCCC3)N,Active,79,,,,3.4,,2.89,,8.7,13.44,9.32,88.62,90.51,89.59,88.73,84.84,74.46,-2.36,-0.01,-1.2,-1.91,90.51,50
27,849093,6858766,C1=CC=C(C=C1)/C=C(/C=N/N2C(=NN=N2)N)\Br,Active,78,,,,10.93,,5.6,,0.16,3.28,2.54,98.86,99.15,97.88,89.91,60.83,10.95,0.88,-0.06,1.9,-5.01,99.15,50
28,849274,651751,C1CCC(CC1)OC(=O)CSC2=NN=NN2C3=CC4=C(C=C3)OCCO4,Active,71,,,,25.66,,22.84,,639.57,18.86,4.7,98.16,93.4,84.62,-5.74,-5.67,-2.48,0.08,-2.23,-1.6,7.13,98.16,100
29,849533,652025,CCOC(=O)CN1C(=NC(=N1)C2=CC=CC=C2)C3=CC=CC=C3,Active,75,,,,29.41,,13.09,,1.79,2.72,11.09,91.91,82.99,76.84,59.59,-3.24,-4.16,-3.98,-11,-0.71,-8.77,91.91,100
30,849650,652147,CCCCOC1=CC=C(C=C1)C2=NN(N=N2)C(C)C(=O)OCC,Active,79,,,,8.73,,2.8,,0.22,1.93,5.43,98.65,97.2,93.52,88.22,78.49,63.89,19.39,6.85,-2.68,-3.85,98.65,100
31,850734,653274,C1CCC(CC1)N2C(=NN=N2)SCC(=O)NC3=NC4=C(S3)CCCC4,Active,62,,,,53.12,,46.86,,801.1,17.52,5.33,93.44,75.69,-5.11,-2.28,0.36,-0.84,3.16,-7.23,-5.07,-8.02,93.44,100
32,850954,3055941,CC1=CC2=C(C=C1)N3CCN=C4C3=C2CCC4.Cl,Active,76,,,,16.01,,10.51,,0.69,5.22,6.12,96.6,93.35,88.47,72.22,4.68,-7.06,-5.38,-4.35,-3.94,-3.95,96.6,100
33,851013,653565,CCC1=NN=C(S1)NC(=O)CN2CCN(CC2)C3=NC(=CS3)C4=CC=CC=C4,Active,64,,,,92.57,,42.56,,3.83,2.83,7.41,94.92,58.73,21.18,-0.1,1.96,-18.99,-0.27,4.99,3.76,0.38,94.92,100
34,851019,653571,CN1C(=NN=C1SCC(=O)OC2CCCCC2)CNC3=NC(=CS3)C4=CC=CC=C4,Active,71,,,,27.26,,23.96,,256.01,17,4.77,99.52,99.64,67.38,-3,-2.25,1.97,1.07,0.09,-11.9,-4.55,99.64,50
35,851093,653654,C1=CSC(=C1)C2=NC3=C(O2)C=CC(=C3)N,Inactive,0,,,,,,,,,,,-1.81,-1.15,7.89,4.77,6.8,-2.7,-1.21,-14.78,3.67,7.56,7.89,25
36,851190,6602982,C1CN(CCC1CC2=CC=CC=C2)C(=O)CN3CCN(CC3)C4=CC=C(C=C4)F.Cl,Inactive,0,,,,,,,,,,,-6.61,27.34,-2.47,-10.27,3.3,-13.7,-6.66,-25.59,-8.64,-10.32,27.34,50
37,851193,653757,C1=CC=C2C(=C1)C=CN2CC(CNC3=CC=CC=C3O)O.C(=O)(C(=O)O)O,Active,76,,,,12.25,,11.47,>,9999,33.11,9.96,99.09,99.26,98.69,94.57,-7.83,-7.7,-3.45,-6.44,-5.15,-24.28,99.26,50
38,851539,654114,CCOC1=CC=C(C=C1)N2CC(=O)NC3=CC=CC=C3NCC2=O,Active,58,,,,83.12,,55.75,,2.09,5.5,3.74,95.91,35.53,0.65,-3.32,-5.67,1.87,-1.52,-5.38,-3.27,-4.74,95.91,100
39,852599,655222,C1CN(CCN1CC(CN2C3=CC=CC=C3C4=CC=CC=C42)O)C5=CC=CC=N5,Active,64,,,,55.07,,42.01,,4.23,8.11,4.53,99.84,80.43,1.48,-2.98,8.99,-3.24,-2.22,-1.3,1.17,-7.48,99.84,100
40,852868,655515,CCOC(=O)C1=CN=C(N=C1N)SC2CCC3=CC=CC=C3C2=O,Active,46,,,,96.49,,87.12,>,9999,21.51,10.85,95.1,-5.47,-10.9,-9.85,-10.21,-3.56,-12.89,-12.11,-10.29,-12.67,95.1,100
41,852900,5411856,CN\1C2=CC=CC3=C2C(=CC=C3)/C1=N/O,Inactive,0,,,,,,,,,,,10.63,3.04,-5.14,-0.26,0.79,2.6,-2.14,-5.4,-0.78,-2.32,10.63,100
42,852976,655621,CCN1C(=O)C2=CC=CC=C2N=C1SCC(=O)OC3CCCCC3,Active,65,,,,55.1,,40.32,,1.88,7.04,3.07,94.59,82.09,3.05,1.4,0.07,-2.45,-1.31,-0.7,-5.88,-1.73,94.59,100
43,852977,655622,COC1=C(C=C(C=C1)C2=NN(N=N2)CC(=O)OC3CCCCC3)OC,Active,72,,,>,100,,20.56,,2.82,1.78,8.94,84.37,76.32,64.88,36.63,-3.73,1.54,-11.39,-5.14,-0.76,-2.39,84.37,100
44,852985,5769094,COC(=O)C1=NOC(=C1)/C=C/C2=CC=CC=C2,Active,69,,,>,100,,29.26,,2.9,2.3,7.38,88.82,76.08,47.78,-0.05,11.72,2.2,2.8,-5.87,-2.26,-8.57,88.82,100
45,853011,655654,CC(=O)C1C(C(=C(CC1(C)O)NC2=CC=C(C=C2)OC)C(=O)C)C3=CC4=C(C=C3)OCO4,Inactive,0,,,,,,,,,,,-3.81,-2.46,-7.63,-6.82,-6.18,-7.21,-5.03,-9.34,-5.25,-9.23,-2.46,50
46,853078,205491,CCOC1=CC=C(C=C1)C(=O)CCN2CCCCCC2.Cl,Active,71,,,,26.19,,23.7,>,9999,21.94,10.04,100.33,100.13,76.39,-8.2,-22.77,-10.6,-5.34,-3.07,-5.64,-6.24,100.33,100
47,853202,655857,C1CN(CC2=CC=CC=C21)C3=NC=NC4=C3N=NN4CC5=CC=CC=C5,Inactive,0,,,,,,,,,,,10.68,2.35,5.26,1.7,-0.51,1.77,-4.32,-5.59,-3.59,0.65,10.68,100
48,853541,656200,CC1=NC(=NC=C1)N2CCC(CC2)C(=O)NC3=CC=CC(=C3)C(F)(F)F,Active,62,,,>,50,,46.33,,463.08,15.07,12.55,,76.43,-4.03,-4.38,4.84,-6.89,-7.72,-29.36,-6.14,-5.98,76.43,50
49,855571,3012,CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=CC=C4)C5=CC=C(C=C5)F)CC3,Active,66,,,,51.2,,35.85,,2.82,6.16,6.48,99.24,88.49,10.08,-8.91,-3.78,-4.38,-1.37,-13.41,-3.24,-5.25,99.24,100
50,855577,8691,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,Inactive,0,,,,,,,,,,,13.51,-2.32,-1.33,-3.8,-3.18,-0.63,-0.4,-2.02,-3.99,-1.02,13.51,100
51,855892,5284439,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3.C(=C\C(=O)O)\C(=O)O,Active,76,,,,14.63,,12.48,,0.87,13.79,3.48,100.01,100.01,98.61,50.66,-1.32,-3.2,-0.24,-3.12,-8.54,0.18,100.01,50
52,856019,1967,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C,Active,71,,,,26.15,,24.01,>,9999,25.73,8.17,94.51,91.2,73.94,-10.16,-10.84,-8.29,-5.21,-2.38,-10.13,1.33,94.51,100
53,856089,2736920,CC1=CC2=C(C=CC3=[N+](ON=C32)[O-])N=N1,Active,74,,,,22.8,,17.35,,1.25,8.04,4.46,99.51,99.29,94.93,6.76,-7.62,-4.17,-3.39,-6.16,-5.42,1.98,99.51,100
54,856331,657699,C1CCC23C(C1)CC4=C(N2C5=CC(=C(C#N)C#N)C=CC5=N3)CCCC4,Active,76,,,,13.47,,12.49,>,9999,29.15,10.37,100.46,99.38,98.21,50.63,-25.64,-9.34,-4.85,-1.38,-5.03,-7.83,100.46,100
55,856354,657721,CC1=CC2=C(N1)C=CC(=C2N=O)NO,Active,76,,,,18.23,,11.92,,0.35,5.18,3.59,99.74,99.96,99.24,55.88,4.17,1.46,5.96,2.86,-3.95,6.3,99.96,50
56,856460,611207,C1=CC=C(C=C1)CCNC2=C3C=NN(C3=NC=N2)C4=CC=CC=C4,Inactive,0,,,,,,,,,,,-1.21,6.64,23.65,-2.87,-0.44,8.25,-3.62,-0.45,2.45,-6.21,23.65,25
57,856630,657985,CCOC(=O)C(C)SC1=C(C=CC(=N1)C2=CC=CS2)C#N,Active,63,,,,50.33,,44.25,,1140.04,17.06,14.66,98.6,88.94,-2.18,-2.53,-5.06,-8.95,0.09,-10.61,-10.6,-37.08,98.6,100
58,856711,658071,C1CCC(CC1)N2C(=C(C(=O)N(C2=O)C3CCCCC3)C=NCCN4CCNCC4)O,Active,69,,,,32.45,,28.4,,248.45,16.45,7.12,100.13,99.86,10.95,-8.63,0.85,-15.78,-4.31,-5.23,-3.65,-4.64,100.13,100
59,856765,658123,CCCCCNC1=C(C2=C(CN(CC2)C)C(=N1)N3CCCC3)C#N,Active,41,,,>,100,>,100,,5.26,3.55,4.47,48.73,6.32,5.6,5.94,6.1,4.51,5.71,-0.71,1.86,2.35,48.73,100
60,856768,658126,CCOC(=O)C1=C(NC(=C(C1C2=CC=CS2)C#N)SCC(=O)NC3=NC(=CS3)C)C,Active,68,,,,49.75,,31.32,,0.74,4.75,2.18,98.12,90.35,25.53,1.04,2.74,3.96,-2.16,-0.56,-0.36,-2.8,98.12,100
61,856833,315109,C1=CC=NC(=C1)C2=NN=C(N=N2)C3=CC=CC=N3,Active,78,,,,6.86,,6.07,,73.78,17.81,3.95,99.92,99.78,99.37,95.57,62.94,-5.29,0.86,-7.82,-3.8,-0.62,99.92,100
62,856947,658308,CCOC1=CC=C(C=C1)NC2=NC(=NC(=C2)C)N3C(=CC(=N3)C)C,Active,80,,,,4.89,,2.27,,0.24,2.86,8.79,93.06,93.18,90.12,89.84,84.74,75.29,26.54,-3.34,-6.44,-10.47,93.18,50
63,856955,658315,C1=CC=C(C(=C1)N=CC2=CC=CN2)O,Active,79,,,,6.04,,4.6,,0.58,8.03,7.7,100.57,99.43,98.21,97.04,92.16,4.48,-21.11,-2.87,-2.23,-1.67,100.57,100
64,856990,658350,CCOC(=O)CON1C2=C(CCCC2)C3=C1C=CC4=[N+](ON=C43)[O-],Active,78,,,,6.48,,5.68,,34.93,16.61,3.64,99.2,98.89,98.53,97.34,83.06,-1.29,-2.43,-4.08,-8.3,-1.33,99.2,100
65,857184,658538,COC1=CC=C(C=C1)C2=CC(=NN2)C3=CC=C(C=C3)OC,Active,61,,,>,50,>,50,,4.7,2.99,4.57,,40.57,8.62,-0.87,-1.14,-3.33,-8.3,-1.34,-2.96,-7.06,40.57,50
66,857211,568592,C1=CC=C(C=C1)C2=NC3=NON=C3N=C2C4=CC=CC=C4,Active,69,,,,39.41,,28.94,,2.75,7.12,5.9,99.8,97.78,26.12,-1.52,4.55,-11.99,9.77,0.48,0.94,3.81,99.8,100
67,857655,659001,CC1=CC2=C(C=C1)NC3=C2N=CN=C3N4CCN(CC4)CC5=CC=CC=C5,Active,71,,,,45.99,,25.09,,0.99,3.63,3.85,99.2,93.72,49.13,7.54,6.03,7.15,2.05,0.34,5.3,2.17,99.2,100
68,857718,659077,COC1=CC=CC=C1C(=O)NC(=NC2=NC3=CC=CC=C3O2)NC(=O)C4=CC=CC=C4OC,Inactive,0,,,,,,,,,,,8.05,-5.64,18.17,-2.59,-1.24,-0.16,-5.05,-7.34,-9.17,-9.33,18.17,25
69,857802,135426496,COCC1=CC(=O)NC(=N1)NC2=NC3=CC=CC=C3O2,Active,70,,,,47.97,,26.41,,1.67,3.68,6.17,98.63,98.73,40.25,16.17,,6.86,0.1,-0.35,-4.28,-4.44,98.73,50
70,858051,659407,CCCC1=CC(=C(C=C1OC)O)C2=NC(=NC=C2C3=CC4=C(C=C3)OCCCO4)N,Active,59,,,,80.99,,54.29,,1.81,5.5,3.59,96.85,38.8,2.25,-7.48,2.26,0.39,-4.75,2.43,-3.45,-0.34,96.85,100
71,858063,659419,CC1=CC(=NC(=N1)N2C3=C(CC(C3)C(=C)C)C(=N2)C)C,Active,77,,,,22.12,,8.78,,0.45,2.38,3.84,98.92,98.27,93.74,67.19,34.45,4.92,-2.76,-1.39,-0.9,-7.96,98.92,100
72,858118,5389131,CC/C(=C\C(=O)C1=CN=CC=C1)/NC2=CC(=C(C=C2)C)C,Inactive,0,,,,,,,,,,,10.19,-1.85,2.5,2.6,3.07,-4.39,-1.68,3.56,-4.42,0.7,10.19,100
73,858274,659614,CCOC(=O)CSC1=NC(=C(S1)C(=O)NC2=CC=C(C=C2)N(C)C)N,Active,79,,,,9.77,,4.23,,0.18,2.62,3.27,100.06,99.05,96.49,90.6,74.27,33.2,1.35,0.84,2.57,-4.69,100.06,100
74,858409,659735,CC1CN(CCN1C2=CC(=CC=C2)OC)C3=NC=NC4=C3NC5=CC=CC=C54,Active,70,,,,42.52,,27.1,,1.2,4.88,4.87,99.65,95.92,40.02,3.56,2.92,-12.12,-0.32,4.98,-2.3,1.46,99.65,100
75,858412,16411580,CC1=C(C=C(C=C1)C2=CC=C(O2)/C=N/C3=NC=NN3)Cl,Inactive,0,,,,,,,,,,,2.85,-2,1.08,-2.35,-3.47,-5.18,-4.29,-2.64,-1.47,-1.3,2.85,100
76,858735,135412148,CCOC(=O)C1=CC=C(C=C1)N2CC(=C(C2=N)C3=NC4=CC=CC=C4C(=O)N3)O,Inactive,0,,,,,,,,,,,0.03,-3.65,-5.42,-5.29,-0.74,-9.08,-4.25,-2.33,-8.55,-4.03,0.03,100
77,858736,660043,C1COCCN1C2=NC3=CC=CC=C3N=C2C(C#N)C(=O)NCC4=CC=CO4,Active,64,,,,47.16,,43,,7015.96,23.81,4.4,99.92,97.32,-5.08,-0.19,-1.35,-5.89,-4.77,-3.43,-5.49,5.29,99.92,100
78,858767,5389213,CCOC(=O)C1=C(C2=C(N1)C=CC(=C2)F)NC(=O)CN3CCN(CC3)C/C=C/C4=CC=CC=C4,Active,69,,,,42.79,,28.41,,1.37,5.37,4.68,99.85,96.26,33.15,4.12,4.87,-2.11,2.24,5.13,0.9,10.28,99.85,100
79,859551,660846,CCOC1=CC=C(C=C1)N=C(NC#N)SCC(=O)NC2CC2,Inactive,0,,,,,,,,,,,3.09,2.41,16.52,-1.71,0.62,-8.97,1.86,0.88,-2.78,-2.74,16.52,25
80,859637,660939,CC1=CC2=C(C(=O)O1)S/C(=C(\C(=O)OC)/C(F)(F)F)/O2,Active,70,,,>,100,,26.02,,5.65,1.28,11.85,63.67,70,69.61,25.15,3,-1.88,-1.99,-1.99,-3.15,0.69,70,50
81,859774,661076,CC1=C(C(=CC=C1)C)OCC(=O)NC2=CC=CC(=C2)C3=NN=C(O3)C4=CC=CC=C4,Inactive,0,,,,,,,,,,,9.51,-0.59,1.81,-7.93,-3.36,-3.68,-5.44,-11.57,0.28,-3.74,9.51,100
82,860182,661489,CN(C)CCOC1=NC(=NC2=C1OC3=CC=CC=C32)C4=CC=CC=C4,Active,73,,,,25.56,,19.1,,2.4,7.54,7.96,99.96,97.04,88.43,3.94,-4.7,-12.67,-7.78,-7.39,-11.12,-8.8,99.96,100
83,860244,661546,CCOC(=O)CN1C(=C(C(=O)C2=CC=CC(=C21)C)Br)C,Active,71,,,,26.55,,23.04,,168.65,15.53,7.27,85.02,92.62,77.99,-1.97,3.34,0.7,-5.65,2.63,-6.49,-6.87,92.62,50
84,860819,662098,COC1=CC=CC=C1N(C2CC(=O)N(C2=O)C3=CC=C(C=C3)Br)O,Active,71,,,,25.86,,22.89,,608.76,18.04,6.88,98.14,95.58,83.04,-5.09,-8.87,-4.07,-3.41,-9.5,-9.21,-6.88,98.14,100
85,860951,662231,CC1=CC2=C(C=C1)NC3=C2CN(CC3)C(=O)CN4CCN(CC4)C5=CC=CC=N5,Inactive,0,,,,,,,,,,,10.33,4.03,1.73,5.95,-6.69,-2.7,-22.29,-2.91,2.07,-2.45,10.33,100
86,860986,662260,CCCCCCOC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)CC,Active,72,,,,32.31,,21.33,,0.43,5.29,1.86,100.25,99.34,69.83,5.6,1.57,0.15,-1.21,-3.81,-1.97,-2.38,100.25,100
87,861166,662427,CC1CN(CCN1C2=CC=CC(=C2)C)CC(=O)NC3=C(NC4=C3C=CC(=C4)OC)C(=O)OC,Active,65,,,,50.89,,38.13,,2.69,7.62,4.41,96.79,88.77,3.81,-0.76,-2.92,-6.59,-3.58,-4.48,-6.32,-4.53,96.79,100
88,861868,9568670,CCC(C)NC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)/N=C/C4=CC=CC=N4)N,Active,75,,,,22.35,,13.66,,0.42,4.46,3.25,100.09,99.9,96.23,39.03,7.74,5.09,3.4,0.22,1.64,-3.84,100.09,100
89,861950,663173,COC1=C(C=C(C=C1)C2=NN=C3N2N=C(S3)C4CCCCC4)OC,Active,62,,,,51.55,,45.62,,570.84,17.97,3.44,99,83.86,-2.44,-2.45,-2.27,-0.22,-1.4,-2.16,-1.65,-8.2,99,100
90,861996,663228,COC1=C(C=C(C=C1)NC(=O)CSC2=NN=C(N2N)C3=CC=CC=N3)Cl,Active,59,,,>,100,,55.62,,5.41,3.54,9.08,86.49,42.54,1.82,-1.96,-9.75,-9.13,-6.9,-9.46,-6.67,-16.43,86.49,100
91,862018,663248,CCOC(=O)OC1=CC2=C(C=C1)OC(=C2C(=O)OCCOC)C,Inactive,0,,,,,,,,,,,7.24,6.72,22.9,0.93,5.29,-0.9,1.17,1.17,5.91,-0.12,22.9,25
92,862067,663293,CC(C)(C)N1C(=C(C(=O)NC1=O)C=NC2=CC3=C(CCC3)C=C2)O,Inactive,0,,,,,,,,,,,-1.75,10.47,-8.95,-5.41,-2.81,-12.32,-9.34,-3.6,-9.1,-6.77,10.47,50
93,862140,207081,C1CN2CCC1C(C2)OC(=O)C3C4=CC=CC=C4OC5=CC=CC=C35.Cl,Active,73,,,,28.32,,17.84,,0.82,4.75,4.18,95.58,93.94,84.13,14.7,5.8,5.67,1.46,1.01,4.82,2.44,95.58,100
94,862270,663493,CCCN1C2=C(C=C(C1=N)C(=O)NCC3=CC4=C(C=C3)OCO4)C(=O)N5C=CC=C(C5=N2)C,Active,72,,,,29.12,,20.58,,0.96,6.32,3.57,98.51,98.86,77.45,4.01,0.71,1.59,-7.56,-4.95,-0.09,-3.79,98.86,50
