PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,CC50 Modifier,CC50,CC50 Std Dev Modifier,CC50 Std Dev,CC50 Hill Slope Modifier,CC50 Hill Slope,CC50 Normalized Chi2,% Cell Viability @ 40 uM,% Cell Viability @ 20 uM,% Cell Viability @ 10 uM,% Cell Viability @ 5 uM,% Cell Viability @ 2.5 uM,% Cell Viability @ 1.25 uM,% Cell Viability @ 0.625 uM,% Cell Viability @ 0.313 uM,% Cell Viability @ 0.156 uM,% Cell Viability @ 0.078 uM,Verification
RESULT_TYPE,,,,,,,STRING,FLOAT,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,Cytotoxic concentration,,,,,,,,,,,,,,,,Data has been verified.
RESULT_UNIT,,,,,,,,MICROMOLAR,,NONE,,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,40,20,10,5,2.5,1.25,0.625,0.313,0.156,0.078,
1,842133,644388,Active,41,,,>,40,,3.15,,-1.44,2.68,50.77,76.67,90.01,94.51,92.19,97.37,100.2,100.69,98.38,97.95,verified
2,842180,644436,Inactive,0,,,,,,,,,,89.9,92.75,99.48,94.55,95.6,96.67,105.58,101.3,103.43,100.91,verified
3,842310,135450603,Active,41,,,>,40,,6.56,,-1.34,4.12,53.72,80.69,87.12,93.83,94.21,102.15,98.91,95.3,97.26,92.73,verified
4,842501,644772,Inactive,0,,,,,,,,,,90.17,87.94,86.72,92.27,95.41,90.25,93.94,92.15,90.02,92.7,verified
5,842785,645059,Inactive,0,,,,,,,,,,82.42,95.78,101.4,98.95,101.31,102.49,97.35,95.6,102.35,97.83,verified
6,843005,767427,Inactive,0,,,,,,,,,,90.64,86.55,92.63,89.96,94.78,104.81,104.35,96.36,102.27,99.61,verified
7,843584,645886,Inactive,0,,,,,,,,,,98.46,96.73,98.61,100,94.41,102.76,107.47,96.66,94.63,100.45,verified
8,844237,646549,Inactive,0,,,,,,,,,,97.87,97.06,97.54,99.31,97.28,95.74,97.31,93.97,106.56,99.22,verified
9,844552,646879,Active,41,,,>,40,,3.24,,-3.09,3.79,60.5,92.63,100.17,99.03,99.16,105.9,96.93,96.89,97.75,92.7,verified
10,844714,647043,Inactive,0,,,,,,,,,,87.35,89.51,92.44,91.65,92.07,95.19,95.23,96.1,92.2,97.09,verified
11,844802,647134,Active,50,,,,30.915,,1.22,,-2.41,2.84,34.75,74.19,95.43,93.21,98.83,100.26,104.42,98.75,100.87,,verified
12,845123,312154,Inactive,0,,,,,,,,,,93.55,95.56,89.56,90.44,96.11,98.29,97.24,94.54,95.16,97.37,verified
13,845327,647671,Inactive,0,,,,,,,,,,80.55,91.32,94.53,98.69,98.95,102.81,103.5,97.65,100.52,,verified
14,846009,648376,Active,41,,,>,40,,10.97,,-1.45,2.98,67.25,88.4,89.44,97.04,103.28,102.59,98.6,97.46,102.23,100.75,verified
15,846163,648545,Inactive,0,,,,,,,,,,95.35,96.05,94.74,94.39,95.92,94.5,93.7,103.11,104.01,102.26,verified
16,846289,648675,Inactive,0,,,,,,,,,,91.59,95.15,91.83,95.67,100.35,99.1,95.64,98.92,95.06,,verified
17,846296,648682,Inactive,0,,,,,,,,,,95.54,96.2,101.13,104.92,96.04,101.62,101.39,96.64,100.88,101.83,verified
18,846412,648801,Active,67,,,,13.671,,3.92,,-0.43,6.46,34.74,49.65,56.08,66.09,66.81,61.63,72.29,88.38,93.25,94.36,verified
19,846490,648878,Active,41,,,>,40,,5.02,,-1.44,2.95,57.14,79.99,92.14,93.04,97.53,98.99,98.66,104.94,104.94,101.43,verified
20,846746,649139,Active,66,,,,15.011,,0.69,,-3.43,4.02,3.38,26.43,81.98,91.57,95.95,100.84,92.87,97.93,96.66,102.3,verified
21,847195,649592,Inactive,0,,,,,,,,,,94.37,97.75,104.03,102.83,103.28,101.68,105.58,98.47,107.53,97.95,verified
22,847353,649752,Inactive,0,,,,,,,,,,97.3,98.68,97.46,95.57,97.77,100.53,98.9,96.74,100.35,100,verified
23,848077,650501,Active,41,,,>,40,,35.35,,-0.7,13.96,74.48,48.07,53.88,90.65,98.83,96.33,95.81,106.42,107.4,104.94,verified
24,848268,650706,Inactive,0,,,,,,,,,,90.32,97.7,94.86,95.68,93.04,102.47,97.18,100.44,94.33,97.62,verified
25,848690,651141,Inactive,0,,,,,,,,,,94.01,98.01,95.46,95.52,94.93,93.66,99.14,94.81,102.23,96.16,verified
26,849028,651494,Inactive,0,,,,,,,,,,93.99,98.52,98.67,93.73,93.55,99.72,95.59,99.64,99.48,99.13,verified
27,849093,6858766,Active,74,,,,6.311,,0.35,,-1.39,2.83,,,35.56,57.72,74.92,95.63,95.84,98.64,97.19,101.55,verified
28,849274,651751,Inactive,0,,,,,,,,,,98.51,89.87,91.76,95.44,100.15,95.2,92.4,98.35,95.99,96.99,verified
29,849533,652025,Inactive,0,,,,,,,,,,97.57,97.48,104.15,100.54,101.31,97.19,96.3,100.37,98.9,94.97,verified
30,849650,652147,Inactive,0,,,,,,,,,,94.52,95.19,101.64,99.39,105.53,91.52,102.53,102,101.24,88.71,verified
31,850734,653274,Active,41,,,>,40,,17.68,,-1.24,3.29,69.67,83.32,95.66,96.57,98.19,95.04,98.68,93.81,97.04,,verified
32,850954,3055941,Inactive,0,,,,,,,,,,87.14,98.05,99.72,95.46,98.34,95.46,93.94,99.48,101.92,99.34,verified
33,851013,653565,Inactive,0,,,,,,,,,,86.37,91.65,99.28,101.39,98.75,99.22,99.41,95.47,99.4,98.28,verified
34,851019,653571,Inactive,0,,,,,,,,,,100.81,99.25,102.32,95.45,96.15,95.68,102.4,102.57,99.14,100.51,verified
35,851093,653654,Inactive,0,,,,,,,,,,95.44,96.61,95.96,97.63,95.14,96.86,95.22,97.57,94.15,97.26,verified
36,851190,6602982,Inactive,0,,,,,,,,,,85.52,95,96.51,97.57,100.43,98.98,103.22,100.49,104.15,102.68,verified
37,851193,653757,Active,41,,,>,40,,42.1,,-0.59,4.29,64.33,72.24,74.93,91.62,94.21,96.33,92.46,92.89,93.63,94.48,verified
38,851539,654114,Inactive,0,,,,,,,,,,89.58,93.6,90.4,97.78,97.21,98.61,92.52,90.92,97.9,91.72,verified
39,852599,655222,Active,41,,,>,40,,5.14,,-2.91,3.01,68.77,94.51,99.11,96.84,101.17,97.36,103.09,98.24,106.34,101.29,verified
40,852868,655515,Inactive,0,,,,,,,,,,89.48,93.63,98.73,88.59,100.48,92.08,101.79,106.41,101.52,97.83,verified
41,852900,5411856,Active,41,,,>,40,,38.06,,-0.76,2.77,71.16,77.95,92.02,89.3,94.54,100.42,95.41,97.55,101.22,98.69,verified
42,852976,655621,Inactive,0,,,,,,,,,,95.42,97.6,99.85,100.51,104.46,97.39,98.9,103.09,98.6,104.11,verified
43,852977,655622,Inactive,0,,,,,,,,,,101.55,96.54,88.08,99.32,96.35,100.44,100.96,99.17,104.71,94.11,verified
44,852985,5769094,Inactive,0,,,,,,,,,,103.41,96.75,97.96,95.51,94.97,99.32,95.16,98.87,98.14,99.4,verified
45,853011,655654,Inactive,0,,,,,,,,,,93.95,102.86,89.74,94,97.95,98.75,97.08,100.61,99.36,,verified
46,853078,205491,Active,41,,,>,40,,15.06,,-3.41,4.07,77.57,98.22,95.65,98.81,98.83,100.08,96.07,99.09,100.82,109.76,verified
47,853202,655857,Inactive,0,,,,,,,,,,80.15,82.22,86.95,91.86,94.21,98.04,97.61,93.14,94.46,97.49,verified
48,853541,656200,Inactive,0,,,,,,,,,,84.4,87.05,98.3,94.46,92.01,95,98.72,93.21,90.88,91,verified
49,855571,3012,Inactive,0,,,,,,,,,,89.22,98.14,103.23,98.57,103.73,99.59,100.68,94.81,100.86,98.19,verified
50,855577,8691,Inactive,0,,,,,,,,,,80.21,93.97,94.56,92.11,97.09,99.94,97.42,99.87,98.79,102.45,verified
51,855892,5284439,Active,69,,,,12.16,,0.78,,-6.01,5.27,2.92,4.35,76.6,96.79,86.06,99.56,98.6,98.73,99.49,97.18,verified
52,856019,1967,Inactive,0,,,,,,,,,,84.55,89.5,90.63,97.41,97.52,102.21,101.71,100.06,103.38,96.11,verified
53,856089,2736920,Inactive,0,,,,,,,,,,107.01,104.93,108.18,110.85,102.11,102.65,104,103.11,100.25,102.82,verified
54,856331,657699,Active,51,,,,29.537,,2.61,,-1.82,5.22,36.78,67.83,83.58,101.03,101.17,101.55,107.35,108.12,103.45,105.81,verified
55,856354,657721,Active,75,,,,5.534,,0.96,,-1.31,9.68,21.17,26.54,26,39.11,77.98,98.04,102.15,98.59,98.31,102.91,verified
56,856460,611207,Inactive,0,,,,,,,,,,84.68,91.24,99.8,94.51,92.7,95.13,92.9,91.86,94.12,93,verified
57,856630,657985,Active,42,,,,38.873,,11.84,,-0.69,6.84,58.54,57.94,64.24,73.52,86.32,97.8,103.6,101.3,101.8,102.4,verified
58,856711,658071,Active,47,,,,33.506,,2.49,,-2.24,4.9,39.72,76.95,,96.92,93.66,95.69,94.46,91.66,102.56,98.34,verified
59,856765,658123,Active,41,,,>,40,,11.08,,-1.1,6.07,50.06,80.87,83.6,87.01,99.24,95.16,96.04,90.38,95.53,,verified
60,856768,658126,Active,41,,,>,40,,1.88,,-1.93,2.31,50.07,79.84,91.8,100.52,99.66,103.36,97.88,96.64,98.38,101.89,verified
61,856833,315109,Active,47,,,,34.157,,5.2,,-1.16,5.57,51.1,58.46,74.21,99.57,100.62,99.97,98.32,96.23,98.68,100.88,verified
62,856947,658308,Active,74,,,,6.256,,3.57,,-0.28,10.13,31.18,40.92,44.85,63.09,67.23,65.06,49.65,58.35,71.32,88.35,verified
63,856955,658315,Active,41,,,>,40,,21.83,,-1.49,3.95,74.61,82.56,99.6,100.81,101.53,104.04,104.3,99.28,101.51,104.63,verified
64,856990,658350,Inactive,0,,,,,,,,,,92.74,96.05,97.65,100.92,91.88,82.62,92.89,97.84,96.37,90.66,verified
65,857184,658538,Inactive,0,,,,,,,,,,80.1,89.83,91.15,91.15,94.32,93.94,97.53,94.1,96.17,,verified
66,857211,568592,Active,63,,,,17.759,,0.84,,-1.8,3.04,22.12,40.96,75.47,91.84,96.66,98.15,103.99,103.36,97.3,97.33,verified
67,857655,659001,Active,46,,,,35.25,,3.08,,-1.46,3.81,42.78,75.4,81.09,96.41,96.32,95.86,99.41,95.08,102.42,101.28,verified
68,857718,659077,Active,67,,,,14.011,,2.23,,-1.55,9.56,28.95,34.45,46.97,97.17,101.08,99.61,100.88,92.8,96.5,99.33,verified
69,857802,135426496,Active,65,,,,16.004,,3.7,,-0.77,8.25,31.05,46.31,69.45,65.76,64.61,91.55,102.24,96.25,102.87,98.95,verified
70,858051,659407,Active,41,,,>,40,,7.4,,-1.14,4.34,50.25,79.03,87.32,89.41,90.04,97.42,98.72,96.54,95.85,97.68,verified
71,858063,659419,Inactive,0,,,,,,,,,,82.55,87.22,100.29,97.49,95.32,96.75,97.91,94.81,95.8,98.78,verified
72,858118,5389131,Active,41,,,>,40,,2766.25,,-0.44,5.72,78.98,89.15,91.32,88.75,97.31,99.57,101.95,88,91.06,,verified
73,858274,659614,Inactive,0,,,,,,,,,,94.66,91.65,90.65,100.06,100.51,99.22,95.67,100.25,97.98,98.11,verified
74,858409,659735,Active,73,,,,7.278,,0.62,,-1.46,5.06,3.72,12.76,44.63,66.49,76.12,94.54,93.72,95.62,94.96,95.67,verified
75,858412,16411580,Inactive,0,,,,,,,,,,94.17,96.52,101.8,94.33,86.72,105.6,100.86,98.69,95.7,,verified
76,858735,135412148,Inactive,0,,,,,,,,,,94.13,96.53,99.45,94.32,98.07,97.47,89.18,99.59,99.23,101.1,verified
77,858736,660043,Inactive,0,,,,,,,,,,85.71,93.72,87.82,94.22,103.51,98,100.8,97.12,100.64,,verified
78,858767,5389213,Active,58,,,,22.388,,2,,-4.07,8.88,1.96,65.62,82.64,90.48,96.14,95.39,92.89,92.53,91.58,,verified
79,859551,660846,Inactive,0,,,,,,,,,,96.29,96.83,100.78,99.88,99.6,89.87,101.61,99.42,104.4,98.39,verified
80,859637,660939,Active,71,,,,9.912,,0.93,,-2.07,6.64,10.99,16.96,46.62,88.3,85.43,98.35,98.57,99.91,89.14,,verified
81,859774,661076,Active,46,,,,34.92,,1.43,,-3.4,3.68,38.72,86.76,98.07,108.87,97.87,98.52,99.14,98.66,96.7,102.59,verified
82,860182,661489,Active,68,,,,12.485,,1.48,,-1.4,6.74,12.28,31.52,64.6,78.92,86.37,92.43,90.83,95.38,87.92,,verified
83,860244,661546,Inactive,0,,,,,,,,,,103.12,95.31,97.87,91.17,89.8,101.89,94.59,99.21,94.76,102.02,verified
84,860819,662098,Inactive,0,,,,,,,,,,94.78,108.99,101.07,99.77,103.85,101.85,99.8,96.8,95.88,97.45,verified
85,860951,662231,Inactive,0,,,,,,,,,,82.14,83.94,86.82,95.99,94.19,100.48,97.44,96.45,92.38,95.32,verified
86,860986,662260,Active,61,,,,19.659,,2.31,,-1.48,6.65,15.89,59.8,74.52,81.53,89.02,99.64,100.17,96.57,101.16,93.66,verified
87,861166,662427,Active,50,,,,30.604,,2.37,,-2.08,5,35.76,71.84,91.43,93.05,102.87,93.88,100.17,94.51,91.41,,verified
88,861868,9568670,Active,41,,,>,40,,2.32,,-2.51,3.34,51.54,89.05,91.87,95.96,99.52,97.44,101.29,96.64,96.58,102.77,verified
89,861950,663173,Active,41,,,>,40,,71.32,,-0.57,5.55,63.77,73.4,83.14,88.53,94.94,92.98,93.21,97.97,94.27,84.7,verified
90,861996,663228,Inactive,0,,,,,,,,,,91.96,93.47,100.7,100.15,101.12,96.43,91.51,97.72,99.24,100.69,verified
91,862018,663248,Inactive,0,,,,,,,,,,96.59,99.83,99.68,99.42,95.75,96.53,97.08,100.36,101.9,104.39,verified
92,862067,663293,Active,41,,,>,40,,45.96,,-0.87,2.96,72.01,86.13,91.57,96.27,96.01,92.15,98.48,96.72,97.04,101.59,verified
93,862140,207081,Active,41,,,>,40,,9205.03,,-0.26,5.03,69.23,87.61,81.79,87.91,91.28,90.69,90.08,88.81,88.85,,verified
94,862270,663493,Active,47,,,,33.93,,3.15,,-1.39,4,41.19,72.44,84.31,92.26,89.2,101.01,97.73,98.64,100.17,95.89,verified
95,862462,663693,Inactive,0,,,,,,,,,,86.68,92.87,101.38,109.01,99.71,95.66,100.29,101.76,96.68,101.31,verified
96,862549,663778,Active,43,,,,38.262,,3.29,,-1.57,3.72,46.98,75.68,89.04,95.78,95.14,94.59,95.54,96.83,94.19,102.36,verified
97,862552,663781,Inactive,0,,,,,,,,,,94.13,110.71,103.5,100.17,103.79,99.27,99.41,97.97,101.68,102.55,verified
98,862693,663925,Inactive,0,,,,,,,,,,81.82,91.19,94.41,101.56,96.72,99.5,96.24,99.97,113.38,102.05,verified
99,862910,664149,Active,70,,,,11.122,,0.5,,-3.12,3.89,1.11,10.77,61.11,88.49,93.2,99.78,94.14,97.19,98.21,102.83,verified
100,863017,664254,Active,41,,,>,40,,10.69,,-2.02,4.03,69.17,90.85,96.16,99.38,99.6,103.1,91.03,101.52,96.18,95.42,verified
101,863040,664281,Inactive,0,,,,,,,,,,87.54,94.04,94.49,92.81,101.66,98.67,96.18,98.98,91.06,98.79,verified
102,863132,664369,Inactive,0,,,,,,,,,,81.38,90.99,97.13,94.7,93.05,91.65,98.91,92.72,101.06,93.1,verified
103,863192,664439,Inactive,0,,,,,,,,,,81.53,94.97,103.15,106.36,102.82,95.6,99.07,101.3,102.39,102.57,verified
104,863353,664608,Active,41,,,>,40,,20.51,,-1.21,3.04,72.58,82.48,93.98,102.31,94.41,99.53,100.47,96.66,100.58,97.62,verified
105,863475,664729,Active,41,,,>,40,,20.48,,-1.26,5.03,66.88,81.39,94.7,100.81,92.64,95.69,94.03,94.14,96.56,92.95,verified
106,863592,664841,Active,41,,,>,40,,501.33,,-0.44,6.47,63.68,85.38,88.11,91.15,92.74,92.95,88.65,90.67,89.55,,verified
107,863607,664856,Active,41,,,>,40,,173.69,,-0.37,5.95,56.43,70.94,84.63,86.54,84.65,85.95,89.34,91.88,88.38,87.33,verified
108,863906,665158,Active,41,,,>,40,,325.77,,-0.52,3.05,74.94,85.12,93.17,89.62,95.08,93.45,93.61,98.65,98.36,95.06,verified
109,863998,665250,Active,41,,,>,40,,54.1,,-0.94,2.57,77.23,87.97,89.74,98.46,98.13,101.58,97.61,94.92,97.96,100.31,verified
110,864029,665280,Active,41,,,>,40,,13.3,,-1.82,3.69,71.13,90.13,96.14,100.91,96,98.91,96.03,103.21,103.73,107.08,verified
111,864147,665395,Active,41,,,>,40,,10.74,,-0.97,3.77,61.87,68.54,86.21,88.37,101.41,99.6,102.16,95.51,99.91,99.49,verified
112,864213,665460,Active,41,,,>,40,,9.38,,-1.83,4.43,64.54,88.08,95.75,97.38,94.77,97.62,99.36,100.2,100.76,88.92,verified
113,864229,665476,Inactive,0,,,,,,,,,,80.01,85.86,90.06,93.88,97.12,100.65,99.3,95.53,98.55,97.49,verified
114,864454,665701,Active,41,,,>,40,,11.95,,-1.46,3.77,67.41,80.24,100.67,95.2,99.43,95.13,99.01,95.97,100.37,98.17,verified
115,864783,666032,Active,47,,,,33.797,,1.81,,-1.57,2.57,44.34,68.29,86.23,96.86,100.46,101.01,100.56,105.37,98.9,103.02,verified
116,865069,135400122,Active,41,,,>,40,,7.15,,-1.82,4.96,60.11,81.42,97.95,100.31,94.58,101.9,107.35,101.46,90.76,102.51,verified
117,865168,666418,Inactive,0,,,,,,,,,,94.85,93.85,94.92,87.79,94.58,90.71,90.66,93.08,92.04,94.55,verified
118,865218,666468,Inactive,0,,,,,,,,,,92.09,88.59,103.27,92.54,96.49,93.73,99.97,97.92,100.43,102.05,verified
119,865561,666820,Inactive,0,,,,,,,,,,93.56,99.44,103.1,99.21,100.16,93.59,102.28,97.62,99.79,97.47,verified
120,865678,666939,Active,41,,,>,40,,1821.8,,-0.37,3.75,74.18,84.27,91.75,92.54,93.15,94.46,91.03,91.14,95.37,95.39,verified
121,865743,667004,Inactive,0,,,,,,,,,,101,96.41,97.77,99.67,101.06,103.09,95.99,99.57,99.94,100,verified
122,865786,667046,Active,67,,,,13.431,,0.93,,-8.99,3.35,3.11,2.68,93.43,95.14,99.01,99.59,95.07,105.19,98.78,98.42,verified
123,865789,667049,Inactive,0,,,,,,,,,,90.99,92.03,91.22,93.94,95.54,94.59,91.92,100.26,95.23,98.23,verified
124,865856,667116,Active,41,,,>,40,,42.06,,-0.54,11.55,72,55.06,48.94,78.4,95.07,93.05,96.51,94.43,98.37,100.17,verified
125,865948,667205,Inactive,0,,,,,,,,,,93.8,97.09,95.87,97.47,98.99,99.68,99.41,99.49,94.01,100.63,verified
126,866131,667390,Active,41,,,>,40,>,9999,,-0.18,4.66,77.8,80.3,85.57,90.98,84.32,92.37,92.66,91.78,82.98,,verified
127,3711107,2103410,Inactive,0,,,,,,,,,,92.62,96.72,93.43,96.55,89.92,99.81,95.69,93.14,98.66,99.31,verified
128,3711730,2997749,Active,52,,,,29.345,,1.2,,-5.12,3.68,16.81,88.16,93.3,99.39,94.96,97.98,99.34,103.52,95.73,97.26,verified
129,3711737,2997754,Inactive,0,,,,,,,,,,95.69,97.61,95.2,95.83,97.87,104.07,94.21,95.36,98.66,104.49,verified
130,3711751,2132993,Active,50,,,,31.349,,1.81,,-2.3,4,34.12,78.85,86.38,96.22,98.44,97.63,98.46,96.09,95.98,98.07,verified
131,3711765,2997762,Inactive,0,,,,,,,,,,82.06,91.83,90.81,91.82,108.02,98.64,101.78,98.63,98.03,,verified
132,3711979,2997838,Active,41,,,>,40,,5.35,,-2.52,3.58,65.31,91.95,96.86,99.89,105.08,108.01,98.26,99.09,102.03,101.04,verified
133,3712294,2564674,Inactive,0,,,,,,,,,,90.76,97.64,89.15,93.34,100.28,95.58,96.74,96.25,90.76,98.06,verified
134,3712332,2094416,Active,41,,,>,40,,261.12,,-0.56,3.96,72.06,88.07,88.27,92.46,96.08,94.16,97.97,92.97,92.41,97.23,verified
135,3712666,2092983,Active,41,,,>,40,,25.99,,-1.48,3.56,75.88,86.96,101.93,94.88,97.93,96.69,99.32,103.85,100.21,104.25,verified
136,3712847,6603228,Inactive,0,,,,,,,,,,83.75,88.46,92.12,98.89,97.4,102.53,100.65,99.75,102.48,100.44,verified
137,3712888,2082098,Active,74,,,,6.469,,1.24,,-1.05,9.53,2.4,38.44,38.29,55.52,60.08,87.28,103.51,101.28,105.21,96.82,verified
138,3712893,2568748,Inactive,0,,,,,,,,,,96.53,93.6,96.28,103.21,92.92,98.93,101.58,95.05,95.61,95.11,verified
139,3713070,2998267,Inactive,0,,,,,,,,,,82.44,81.79,86.53,97.72,96.84,101.39,96.31,98.03,97.26,94.11,verified
140,3713120,2998294,Inactive,0,,,,,,,,,,90.08,90.06,98.76,99.19,107.31,100.2,99.94,101.89,100.06,,verified
141,3713127,2306849,Active,41,,,>,40,,59.78,,-1.15,3.15,79.48,90.12,96.62,92.32,104.1,99.1,97.13,99.91,101.92,,verified
142,3713614,2579441,Inactive,0,,,,,,,,,,85.59,99.05,104.48,102.26,96.65,100.92,98.4,97.92,99.37,100.68,verified
143,3713837,2998560,Inactive,0,,,,,,,,,,81.97,99.12,94.48,100.79,92.7,101.36,99.26,98.78,103.54,97.23,verified
144,3714082,2526110,Active,57,,,,23.498,,2.24,,-2.59,7.43,28.13,49.77,103.45,100.64,101.59,96.25,96.63,92.75,101.68,100.06,verified
145,3714089,2120718,Active,41,,,>,40,,139.31,,-0.59,3.04,74.13,83.75,86.59,90.38,96.6,100.44,95.25,95.68,94.52,95.55,verified
146,3714226,2998713,Inactive,0,,,,,,,,,,95.59,92.57,101.42,99.02,100.51,98.94,101.39,100.47,103.15,99.56,verified
147,3714242,2998720,Active,41,,,>,40,,17.44,,-1.51,3.2,71.9,91.58,93.25,96.86,98.5,97.47,96.43,102.29,103.63,94.92,verified
148,3714250,2998724,Inactive,0,,,,,,,,,,89.17,97.7,94.53,103.35,97.4,100,99.41,99.31,103.38,98.17,verified
149,3714332,2998761,Inactive,0,,,,,,,,,,93.99,96.24,100.15,96.96,102.83,99.41,105.16,105.46,104.33,105.57,verified
150,3714362,2536033,Active,74,,,,6.833,,1.59,,-0.85,10.15,28.3,39.76,31.52,38.97,74.33,91.71,90.03,98.15,95.45,101.87,verified
151,3714845,2355260,Inactive,0,,,,,,,,,,98.4,99.19,98.93,98.9,90.94,96.25,99.24,98.31,98.27,95.95,verified
152,3715180,2999109,Inactive,0,,,,,,,,,,86.8,90.6,,95.22,101.83,102.08,95.42,93.38,98.57,97.27,verified
153,3715426,2999203,Active,41,,,>,40,,8.49,,-2.07,2.11,74.53,91.07,100.84,98.73,101.19,96.3,101.61,97.25,100.2,99.72,verified
154,3715536,2669322,Inactive,0,,,,,,,,,,101.49,102.19,106.86,101.74,101.64,97.98,101.61,103.25,103.38,100.67,verified
155,3715735,2309266,Active,41,,,,39.983,,2.96,,-2.65,4.93,48.81,90.99,86.94,96.7,94.81,97.2,100.29,100.58,103.12,97.59,verified
156,3715777,570654,Inactive,0,,,,,,,,,,101.23,93.87,95.59,96,93.83,97.75,99.81,103.99,100.11,105.98,verified
157,3715971,2320547,Active,61,,,,19.515,,1.04,,-2.4,4.02,14.68,48.83,83.45,95.27,98.88,99.94,101.8,102.05,89.53,96.74,verified
158,3716019,2388572,Inactive,0,,,,,,,,,,92.26,96.63,96.57,94.31,97.16,97,98.21,97.25,95.68,97.65,verified
159,3716020,2610946,Active,41,,,>,40,,44.41,,-0.85,4.01,68.7,86.04,85.72,94.82,93.41,98.26,103.02,98.96,92.05,96.94,verified
160,3716074,1190244,Active,43,,,,37.632,,2.43,,-1.46,2.66,49,68.41,91.08,92.15,101.29,97.67,101.09,101.76,102.09,99.19,verified
161,3716096,2358042,Active,41,,,>,40,,76.55,,-0.6,2.78,68.75,81.95,88.71,91.95,92.75,91.12,95.86,97.22,96.66,96.27,verified
162,3716166,2334604,Inactive,0,,,,,,,,,,91.82,96.4,98.82,99.25,102.28,99.57,105.79,101.95,98.95,,verified
163,3716201,2415029,Active,55,,,,25.876,,3.98,,-1.22,6.91,28.87,67.95,74.77,90.43,88.73,91.28,91.32,95.35,92.38,99.07,verified
164,3716284,2999544,Active,41,,,>,40,,30.84,,-0.91,4.13,72.18,73.84,85.16,97.69,100.06,102.83,99.22,96.91,101.49,97.2,verified
165,3716413,6362174,Active,41,,,>,40,,682.93,,-0.15,4.68,68.35,55.46,58.62,65.51,71.99,72.32,74.27,73.48,76.75,81.18,verified
166,3716478,2999634,Active,41,,,>,40,,53.28,,-0.87,3.07,76.8,78.55,94.46,96.72,95.77,95.6,101.98,99.74,101.16,100.23,verified
167,3716576,2999672,Active,57,,,,23.55,,2.04,,-1.43,4.58,33.81,50.57,84.57,86.19,94.33,102.34,94.26,96.32,97.9,97.3,verified
168,3716668,2999711,Active,51,,,,29.558,,3.37,,-1.51,5.76,35.24,70.52,80.39,91.35,102.06,90.49,93.37,95.41,96.22,94.52,verified
169,3716907,694186,Inactive,0,,,,,,,,,,93.73,91.24,98.24,100.55,100,99.72,105.6,99.94,99,100.21,verified
170,3717011,2999839,Inactive,0,,,,,,,,,,81.9,95.91,102.45,98.44,103.22,99.53,100.06,106.11,96.58,99.85,verified
171,3717451,2403395,Inactive,0,,,,,,,,,,96.21,94.93,98.79,90.75,101.12,93.97,97.23,98.11,96.34,98.54,verified
172,3717642,2331284,Inactive,0,,,,,,,,,,90.51,97.01,,105.96,102.91,98.22,102.89,97.62,104.29,100.48,verified
173,3717778,2348112,Inactive,0,,,,,,,,,,93.78,94.17,94.31,93.77,104.15,96.72,100.97,93.17,93.67,,verified
174,4240527,1821543,Inactive,0,,,,,,,,,,101.59,102.06,101.08,97.49,94.36,97.32,101.6,99.21,95.68,100.39,verified
175,4240638,3235723,Inactive,0,,,,,,,,,,101.4,101.71,98.31,101.87,103.39,106,99.31,98.63,87.63,,verified
176,4240961,5771281,Active,41,,,>,40,,43.14,,-0.82,2.97,69.38,86.19,91.79,91.19,95.73,96.66,95.32,97.11,96.98,96.93,verified
177,4240978,3236009,Active,57,,,,24.167,,1.14,,-2.48,3.58,20.57,63.77,87.82,96.65,94.87,95.63,99.23,101.29,98.63,93.47,verified
178,4241602,3236557,Inactive,0,,,,,,,,,,85.17,92.68,88.67,89.21,89.86,106.51,100.22,99.24,96.94,99,verified
179,4241788,3236720,Inactive,0,,,,,,,,,,80.13,91.85,94.83,90.45,97.48,93.29,99.65,99.16,98.66,94.86,verified
180,4241889,3236803,Active,50,,,,30.691,,1.15,,-5.02,3.41,20.93,89.51,100.52,97.56,91.02,100.89,100.35,101.47,99.13,101.26,verified
181,4242369,2155773,Inactive,0,,,,,,,,,,95.83,96.48,101.57,96.04,97.11,106.12,102.09,98.36,98.45,103.1,verified
182,4242387,3237248,Inactive,0,,,,,,,,,,89.02,93.79,92.36,94.2,97.82,97.16,99.47,99.87,100.83,97.55,verified
183,4242621,3237452,Inactive,0,,,,,,,,,,85.35,87.18,84.37,99.37,98.12,100.59,99.94,100.43,95.81,99.09,verified
